"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"NUOUPUS","199607","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199608","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199609","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199610","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199611","110","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199612","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199613","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199701","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199702","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199703","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199704","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199705","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199706","109","1","Nuclear Generating Units, Total Operable Units","Number"
"NUOUPUS","199707","109","1","Nuclear Generating Units, Total Operable Units","Number"
